             name              | total_languages 
 Daniel C Dennett              |               2
 Daniel Clowes                 |               2
 Daniel Defoe                  |               2
 Daniel Halpern                |               2
 Daniel Jonah Goldhagen        |               2
 Daniel Keyes                  |               2
 Daniel Pinchbeck              |               2
 Daniel Stashower              |               2
 Daniel Vozzo                  |               2
 Danielle Steel                |               2
 Daphne du Maurier             |               2
 Dave McKean                   |               2
 Dave Thomas                   |               2
 David    Allen                |               2
 David  Luke                   |               2
 David B Barrett               |               2
 David Bodanis                 |               2
 David Dukes                   |               2
 David Elliot                  |               2
 David Gemmell                 |               2
 David Goodis                  |               2
 David Grene                   |               2
 David Hahn                    |               2
 David Hatcher Childress       |               2
 David Levithan                |               2
 David Lubar                   |               2
 David McCullough              |               2
 David Nussbaum                |               2
 David R Hawkins               |               2
 David R Slavitt               |               2
 David Tischman                |               2
 David Watson                  |               2
 David Weber                   |               2
 David Wood                    |               2
 David Wootton                 |               2
 Dean Koontz                   |               2
 Debbie Dadey                  |               2
 Denis Diderot                 |               2
 Denis Johnson                 |               2
 Denise Brunkus                |               2
 Denise Mina                   |               2
 Dennis Etchison               |               2
 Diana Wynne Jones             |               2
 Diane Duane                   |               2
 Diane Goode                   |               2
 Diane Johnson                 |               2
 Dick Francis                  |               2
 Dick Giordano                 |               2
 Dick Hill                     |               2
 Donal OKelly                  |               2
 Donald Goines                 |               2
 Donald J Sobol                |               2
 Donald Spoto                  |               2
 Donna Freitas                 |               2
 Doreen Cronin                 |               2
 Dorothy L Sayers              |               2
 Douglas Adams                 |               2
 Douglas Coupland              |               2
 Douglas Preston               |               2
 Douglas Smith                 |               2
 Dyan Sheldon                  |               2
 E Nesbit                      |               2
 EL Doctorow                   |               2
 EM Forster                    |               2
 Ed Gorman                     |               2
 Edith Hamilton                |               2
 Edmund Spenser                |               2
 Edward Asner                  |               2
 Edward G Seidensticker        |               2
 Edward Gibbon                 |               2
 Edward Gorey                  |               2
 Edward McCrorie               |               2
 Edward P Jones                |               2
 Edward R Tufte                |               2
 Edwidge Danticat              |               2
 Elaine Cunningham             |               2
 Elizabeth Ann Scarborough     |               2
 Elizabeth Berg                |               2
 Elizabeth Clare Prophet       |               2
 Elizabeth Dalton              |               2
 Elizabeth Kostova             |               2
 Elizabeth Lowell              |               2
 Elizabeth Moon                |               2
 Elizabeth von Arnim           |               2
 Elspeth Huxley                |               2
 Emily Bront                   |               2
 Emily Giffin                  |               2
 Emma Donoghue                 |               2
 Emma Holly                    |               2
 Emmanuel Le Roy Ladurie       |               2
 Emmuska Orczy                 |               2
 Eric Schlosser                |               2
 Eric Tyson                    |               2
 Erich Fromm                   |               2
 Erich Maria Remarque          |               2
 Erin McCarthy                 |               2
 Erin St Claire                |               2
 Ernest Alfred Vizetelly       |               2
 Esther Allen                  |               2
 Eudora Welty                  |               2
 Eugne Ionesco                 |               2
 F Paul Wilson                 |               2
 Faza Gune                     |               2
 Florence Lamborn              |               2
 Frances Butwin                |               2
 Frances Hodgson Burnett       |               2
 Francesca Lia Block           |               2
 Francine Prose                |               2
 Frank  Muller                 |               2
 Frank E Peretti               |               2
